Triangle: 1 -1 1 | -1 -1 1 | -1 -1 -1
Triangle: -1 1 -1 | -1 1 1 | 0.999999 1 1
Triangle: 1 1 -0.999999 | 0.999999 1 1 | 1 -1 1
Triangle: 0.999999 1 1 | -1 1 1 | -1 -1 1
Triangle: -1 -1 1 | -1 1 1 | -1 1 -1
Triangle: 1 -1 -1 | -1 -1 -1 | -1 1 -1
Triangle: 1 -1 -1 | 1 -1 1 | -1 -1 -1
Triangle: 1 1 -0.999999 | -1 1 -1 | 0.999999 1 1
Triangle: 1 -1 -1 | 1 1 -0.999999 | 1 -1 1
Triangle: 1 -1 1 | 0.999999 1 1 | -1 -1 1
Triangle: -1 -1 -1 | -1 -1 1 | -1 1 -1
Triangle: 1 1 -0.999999 | 1 -1 -1 | -1 1 -1
